Company Name,SCM Practices,Supplier Count,Inventory Turnover Ratio,Lead Time (days),Order Fulfillment Rate (%),Customer Satisfaction (%),Technology Utilized,Environmental Impact Score,Supply Chain Agility,Supplier Lead Time Variability (days),Inventory Accuracy (%),Transportation Cost Efficiency (%),Supply Chain Integration Level,Sustainability Practices,Supply Chain Complexity Index,Cost of Goods Sold (COGS),Operational Efficiency Score,Revenue Growth Rate out of (15),Supply Chain Risk (%),Supplier Collaboration Level,Supply Chain Resilience Score,Supplier Relationship Score,Total Implementation Cost,Carbon Emissions (kg CO2e),Recycling Rate (%),Energy Consumption (MWh),Use of Renewable Energy (%),Green Packaging Usage (%)
Apple,Agile SCM,300,7,8,94,91,"ERP, AI, Blockchain",70,High,2,98,90,High,Advanced,Medium,$700B,85,12,7,High,90,85,48566365,120000,60,100000,50,40
Microsoft,Lean Manufacturing,200,5.2,15,91,89,"ERP, AI, Robotics",75,High,5,97,85,Medium,Advanced,Medium,$800B,80,10,12,Medium,85,85,54456148,121000,61,100500,51,41
Google,Cross-Docking,20000,7.5,4,95,90,"AI, ERP, Blockchain",70,High,1,98,88,High,Advanced,High,$300B,80,12,5,High,90,85,78733131,122000,62,101000,52,42
Amazon,Agile SCM,500,10.5,15,95,90,"ERP, AI, Blockchain",70,High,10,95,80,High,Advanced,Medium,$1000B,78,8,12,Medium,88,85,1635157,123000,63,101500,53,43
Facebook,Lean Manufacturing,100,5.8,12,89,88,"ERP, AI, Robotics",75,High,4,97,85,High,Advanced,Medium,$400B,80,10,10,Medium,85,80,73150360,124000,64,102000,54,44
IBM,Agile SCM,200,7,8,94,91,"ERP, AI, Blockchain",70,High,2,98,90,High,Advanced,Medium,$600B,85,12,7,High,90,85,20814993,125000,65,102500,55,45
Intel,Sustainable SCM,20000,5.2,11,90,88,"ERP, AI, Blockchain",85,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80,84574186,126000,66,103000,56,46
Oracle,Agile SCM,400,6,9,93,91,"ERP, AI, Blockchain",70,High,2,97,88,High,Advanced,Medium,$700B,85,10,7,High,90,85,27180309,127000,67,103500,57,47
Cisco,Lean Manufacturing,1500,7.2,5,93,89,"ERP, AI, Blockchain",80,High,2,98,90,High,Advanced,High,$500B,85,11,5,High,90,85,2640329,128000,68,104000,58,48
Samsung,Agile SCM,200,6,10,92,90,"ERP, AI, Blockchain",75,High,2,98,90,High,Advanced,High,$800B,85,10,8,High,90,85,31206053,129000,69,104500,59,49
Sony,Demand-Driven SCM,500,5.5,10,92,90,"ERP, AI, Blockchain",80,High,4,98,85,High,Advanced,Medium,$500B,80,12,8,High,89,85,108276584,130000,70,105000,60,50
Dell,Agile SCM,300,7,8,94,91,"ERP, AI, Blockchain",70,High,2,98,90,High,Advanced,Medium,$700B,85,12,7,High,90,85,52496016,131000,60,105500,61,51
HP,Lean Manufacturing,500,4.5,20,89,87,"ERP, AI, Blockchain",75,Medium,5,96,85,Medium,Advanced,Medium,$900B,80,9,12,Medium,85,80,82235367,132000,61,106000,62,52
Adobe,Agile SCM,250,10,7,98,93,"ERP, AI, Blockchain",75,High,1,98,90,High,Advanced,High,$1200B,88,12,3,High,95,90,92956358,133000,62,106500,63,53
Nvidia,Lean Manufacturing,300,5,18,87,85,"ERP, AI, Robotics",75,Medium,6,95,85,Medium,Advanced,Medium,$500B,80,9,15,Medium,85,80,12707036,134000,63,107000,64,54
Tencent,Agile SCM,250,6,9,93,92,"ERP, AI, Blockchain",75,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85,78547324,135000,64,107500,65,55
Baidu,Lean Manufacturing,10000,5,15,91,89,"ERP, AI, Blockchain",65,Medium,5,95,85,Medium,Advanced,Medium,$300B,80,10,10,Medium,85,80,46547340,136000,65,108000,50,56
